date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:47:41	27712/27712	---M--	200	added ('OK')	application/font-woff2	etag:%2279f9defc7632bc87dc40a06c82c11882a3000992%22	https://use.typekit.net/af/8f4e31/0000000000000000000132e3/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n7&v=3	D:/code/CloneWeb/Brat/use.typekit.net/af/8f4e31/0000000000000000000132e3/27/l652f	(from https://use.typekit.net/lae6hxw.css)
16:47:42	32208/32208	---M--	200	added ('OK')	application/font-woff	etag:%2279f9defc7632bc87dc40a06c82c11882a3000992%22	https://use.typekit.net/af/8f4e31/0000000000000000000132e3/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n7&v=3	D:/code/CloneWeb/Brat/use.typekit.net/af/8f4e31/0000000000000000000132e3/27/d652f	(from https://use.typekit.net/lae6hxw.css)
16:47:42	69160/69160	---M-Z	200	added ('OK')	font/opentype	etag:W/%2279f9defc7632bc87dc40a06c82c11882a3000992%22	https://use.typekit.net/af/8f4e31/0000000000000000000132e3/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n7&v=3	D:/code/CloneWeb/Brat/use.typekit.net/af/8f4e31/0000000000000000000132e3/27/a652f	(from https://use.typekit.net/lae6hxw.css)
16:47:42	26884/26884	---M--	200	added ('OK')	application/font-woff2	etag:%2203c147de3e60425966672b36e5f64716b9f998e2%22	https://use.typekit.net/af/a96fa9/000000000000000077359de4/30/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n1&v=3	D:/code/CloneWeb/Brat/use.typekit.net/af/a96fa9/000000000000000077359de4/30/l6129	(from https://use.typekit.net/lae6hxw.css)
16:47:42	27644/27644	---M--	200	added ('OK')	application/font-woff	etag:%2203c147de3e60425966672b36e5f64716b9f998e2%22	https://use.typekit.net/af/a96fa9/000000000000000077359de4/30/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n1&v=3	D:/code/CloneWeb/Brat/use.typekit.net/af/a96fa9/000000000000000077359de4/30/d6129	(from https://use.typekit.net/lae6hxw.css)
16:47:42	51840/51840	---M-Z	200	added ('OK')	font/opentype	etag:W/%2203c147de3e60425966672b36e5f64716b9f998e2%22	https://use.typekit.net/af/a96fa9/000000000000000077359de4/30/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n1&v=3	D:/code/CloneWeb/Brat/use.typekit.net/af/a96fa9/000000000000000077359de4/30/a6129	(from https://use.typekit.net/lae6hxw.css)
16:47:42	29008/29008	---M--	200	added ('OK')	application/font-woff2	etag:%22e5212d20bc80b5ac438f5f0e7384a9aacd69f2ba%22	https://use.typekit.net/af/1281a1/000000000000000077359ded/30/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n3&v=3	D:/code/CloneWeb/Brat/use.typekit.net/af/1281a1/000000000000000077359ded/30/l3eab	(from https://use.typekit.net/lae6hxw.css)
16:47:43	29648/29648	---M--	200	added ('OK')	application/font-woff	etag:%22e5212d20bc80b5ac438f5f0e7384a9aacd69f2ba%22	https://use.typekit.net/af/1281a1/000000000000000077359ded/30/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n3&v=3	D:/code/CloneWeb/Brat/use.typekit.net/af/1281a1/000000000000000077359ded/30/d3eab	(from https://use.typekit.net/lae6hxw.css)
16:47:43	52084/52084	---M-Z	200	added ('OK')	font/opentype	etag:W/%22e5212d20bc80b5ac438f5f0e7384a9aacd69f2ba%22	https://use.typekit.net/af/1281a1/000000000000000077359ded/30/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n3&v=3	D:/code/CloneWeb/Brat/use.typekit.net/af/1281a1/000000000000000077359ded/30/a3eab	(from https://use.typekit.net/lae6hxw.css)
16:47:43	29448/29448	---M--	200	added ('OK')	application/font-woff2	etag:%22c64b4692d9d39a2fd5bd5786ad57155413f36625%22	https://use.typekit.net/af/d03e48/000000000000000077359df2/30/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n5&v=3	D:/code/CloneWeb/Brat/use.typekit.net/af/d03e48/000000000000000077359df2/30/le003	(from https://use.typekit.net/lae6hxw.css)
